1993.416  1024
1993.833  140
1994.416  3680
1994.833  140
1995.416  140
1995.833  140
1996.416  1024
1996.833  2048
1997.416  7264
1997.833  9152
1998.416  9152
1998.833  9152
1999.416  9472
1999.833  9632
2000.416  9632
2000.833  8192
2001.416  8192
2001.833  8192
2002.416  5120
2002.833  5120
2003.416  5120
2003.833  5129
2004.416  5120
2004.833  32768
2005.416  65536
2005.833  131072
2006.416  131072
2006.833  131072
2007.416  131072
2007.833  212992
2008.416  122400
2008.833  129600
2009.416  129600
2009.833  224162
####
2010.416  224162
2010.833  186368
2011.416  548352
2011.833  705024
2012.416  1572864
2012.833  560640
2013.416  3120000
2013.833  3120000
2014.416  3120000
2014.833  3120000
2015.416  3120000
2015.833  3120000
2016.416  10649600
2016.833  10649600
2017.416  10649600
2017.833  10649600
2018.416  2282544
2018.833  2397824
2019.416  2414592
2019.833  2414592
2020.416  7299072
2020.833  7630848
